1	0	796921238.5899196	39588.81515734067
2	0	796794656.3367785	185637.54328250882
3	0	796783327.988601	7175353.721096226
4	0	796791652.736203	104255.07124568793
5	0	796886356.3584999	15908.58351687778
5	1	796889377.792036	9319.340727439061
5	2	796892399.9985372	0.6456040121636779
5	3	796895421.3696115	9287.898789391467
5	4	796898443.5856074	16012.34046608961
6	0	796925963.3970897	17306.099749154502
6	1	796928988.7909125	19073.166413490282
6	2	796932000.151815	8.800966498191213
6	3	796935025.5443747	19033.00652402779
6	4	796938036.9027079	17084.858708654767
7	0	796910399.9291954	936.4605227325675
8	0	796811250.6429667	66906.82678058687
