0	0	796953574.3184031	10626038.23492031
2	0	796921238.5892342	39588.88251639611
3	0	796794656.336773	185637.57075633336
4	0	796782959.3340676	3235263.645054538
5	0	796783327.9886013	7175353.718734631
6	0	796951097.0167764	6007476.773174446
7	0	796783232.1184195	5868715.120681855
8	0	796782980.279054	5118408.035924475
9	0	796791652.7361983	104255.07034591511
10	0	796874269.132912	47182.996094836075
10	1	796877290.4559563	39743.87818837529
10	2	796880312.7120057	31571.55941953135
10	3	796883334.1100459	24331.50549173135
10	4	796886356.357973	15908.581145392121
10	5	796889377.7914813	9319.338617979318
10	6	796892399.9979529	0.6429940777287236
10	7	796895421.3689977	9287.900626617547
10	8	796898443.5849622	16012.342142027914
10	9	796901464.8900603	24515.09409916132
10	10	796904487.0882331	32043.561459213983
10	11	796907508.3660045	40343.24283497258
10	12	796910530.5827506	47931.31534305773
11	0	796899599.9937798	119.02870489921305
12	0	796910399.9287663	935.7601011343245
13	0	796874477.8619769	1511354.0480375285
14	0	796811250.6429269	66906.84220625633
